OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
96,009902,11001009902,2905,2872,27,2813,12,3,0,17,30,12,8,0,44,24,2789,11,3,0,4,27,12,8,0,2273,25,2199,10,3,0,13,20,11,4,0,30,22,2182,10,3,0,3,20,11,4,0,1292,1175,117,319.871354900000028,0.499799000000000,5340.361444166115689,1294473.454595967894420,54350597.000000000000000,38024.000000000000000,57137569.000000000000000,37244.000000000000000,54368604,36560.000000000000000,59607982.490000002086163,40299.500000000000000,58509163.000000000000000,38499.500000000000000,62164914.000000000000000,38607.000000000000000
97,009903,11001009903,1851,1809,17,1774,3,2,0,13,40,23,5,0,30,16,1760,2,2,0,3,37,22,5,0,1358,15,1306,3,0,0,6,26,15,4,0,19,14,1297,2,0,0,2,23,14,4,0,722,644,78,92.868667990000006,0.145107290000000,3223.432199163914902,375826.167714381415863,32456553.320000000298023,33233.500000000000000,35118730.000000000000000,33430.000000000000000,32138301,32154.000000000000000,33996201.000000000000000,33445.500000000000000,36133543.000000000000000,33897.000000000000000,40012643.000000000000000,36360.500000000000000
98,009904,11001009904,2243,2215,63,2055,8,7,0,82,26,14,4,0,162,22,2024,6,7,0,1,19,14,4,0,1546,46,1417,8,3,0,51,19,11,3,0,98,19,1401,6,3,0,1,16,11,3,0,1137,874,263,104.966125520000006,0.164009570000000,2987.978457765396342,424782.841698578733485,26767870.000000000000000,26576.500000000000000,35494438.759999997913837,27487.000000000000000,27871815,26508.000000000000000,31120583.000000000000000,25681.500000000000000,34077779.000000000000000,28267.000000000000000,38243219.000000000000000,29601.500000000000000
99,009905,11001009905,2795,2729,24,2676,7,3,2,17,57,25,0,4,52,20,2656,7,3,2,2,49,24,0,4,2012,22,1933,6,3,2,12,31,18,0,3,29,19,1923,6,3,2,0,29,17,0,3,1330,1104,226,106.606374500000001,0.166572460000000,2908.054569324339809,431420.693863825930748,30819168.679999999701977,26468.000000000000000,36150350.000000000000000,27355.000000000000000,31738883,25668.000000000000000,34320695.000000000000000,25986.000000000000000,35638365.000000000000000,26497.000000000000000,40068077.000000000000000,28297.000000000000000
100,009906,11001009906,1296,1264,11,1241,3,3,0,6,28,15,3,0,31,8,1227,1,3,0,0,24,12,2,0,1001,11,956,2,3,0,6,19,12,2,0,23,8,948,1,3,0,0,16,10,2,0,756,592,164,61.268934430000002,0.095732710000000,2139.297318493469447,247946.582283868454397,16913306.000000000000000,27813.000000000000000,21931724.000000000000000,26833.000000000000000,17588909,26361.000000000000000,19399569.000000000000000,29004.000000000000000,22813412.000000000000000,28540.000000000000000,24288526.000000000000000,28732.000000000000000
101,009907,11001009907,2836,2789,13,2763,4,6,1,2,47,22,7,2,30,10,2746,3,6,1,0,40,22,7,2,1893,11,1847,2,4,1,2,26,13,3,0,21,8,1835,1,4,1,0,23,13,3,0,1176,1097,79,115.374894530000006,0.180273270000000,3177.056629427579992,466905.635699032922275,27930889.000000000000000,23122.000000000000000,31452975.280000001192093,22424.000000000000000,29040909,22048.500000000000000,30367917.469999998807907,21635.500000000000000,31646541.000000000000000,23380.000000000000000,33496320.000000000000000,23804.500000000000000
102,010100,11001010100,2621,2540,1672,393,4,388,2,81,25,22,33,2,298,1477,381,4,382,2,14,18,16,30,1,2529,1639,370,4,373,2,67,21,19,32,2,268,1457,360,4,367,2,14,15,14,29,1,2067,1794,273,143.245779559999988,0.223821530000000,3436.583212399896183,579695.106431478867307,94655251.000000000000000,55985.500000000000000,122209400.000000000000000,64721.000000000000000,108470412,59866.000000000000000,131214216.000000000000000,67512.000000000000000,92406308.000000000000000,66081.500000000000000,116764932.000000000000000,71341.000000000000000
103,010200,11001010200,2324,2208,1132,918,8,118,1,31,78,37,28,1,138,1057,900,5,118,1,8,64,30,27,1,2193,1097,857,8,111,1,31,58,35,20,1,128,1029,839,5,111,1,8,47,30,19,1,1654,1465,189,342.522801230000027,0.535191880000000,5083.272010496320036,1386140.606224766699597,87260141.000000000000000,60379.500000000000000,103762693.000000000000000,62109.000000000000000,103406574,61275.000000000000000,111525170.000000000000000,63261.500000000000000,109619741.000000000000000,62140.000000000000000,135720406.000000000000000,67011.000000000000000
104,010300,11001010300,3187,3057,725,1915,36,67,3,311,68,37,27,9,527,606,1872,17,66,3,14,61,25,25,3,2677,655,1623,31,62,3,216,53,29,13,8,384,559,1589,17,61,3,7,47,20,12,3,1306,1173,133,268.325773110000000,0.419259020000000,5400.810304258830001,1085875.884652212262154,67033876.799999997019768,35106.500000000000000,76672409.000000000000000,36564.500000000000000,70736519,35263.000000000000000,75275047.000000000000000,35107.000000000000000,80323393.000000000000000,36951.000000000000000,86842954.000000000000000,36933.000000000000000
105,010400,11001010400,4365,4281,129,4115,9,12,1,15,75,43,19,4,85,105,4082,7,12,1,0,67,41,17,3,3362,114,3157,7,10,1,13,55,33,9,4,64,98,3133,5,10,1,0,48,31,8,3,1828,1528,300,670.386911570000052,1.047479560000000,7779.672185850798996,2712959.594672138337046,41916212.000000000000000,26314.000000000000000,45848533.000000000000000,24753.000000000000000,44255870,25687.000000000000000,46502276.000000000000000,26338.000000000000000,47671783.000000000000000,25165.500000000000000,50092794.000000000000000,25363.000000000000000
106,007503,11001007503,2425,2388,39,2319,8,6,0,16,34,14,4,4,37,37,2308,2,6,0,3,30,14,4,4,1641,39,1561,5,5,0,13,16,12,1,3,22,37,1555,2,5,0,3,16,12,1,3,1000,857,143,123.492711249999999,0.192957360000000,2859.529840573401998,499757.274593085108791,26718856.000000000000000,24918.000000000000000,29135292.000000000000000,23253.000000000000000,28871602,24616.500000000000000,28340224.000000000000000,22439.500000000000000,30892418.000000000000000,22427.000000000000000,34675207.000000000000000,23658.000000000000000
107,007504,11001007504,2451,2406,25,2370,5,4,0,2,45,18,6,0,6,24,2370,5,4,0,0,42,17,6,0,1652,22,1589,3,4,0,2,32,12,4,0,6,21,1589,3,4,0,0,29,11,4,0,1215,1007,208,196.829617409999997,0.307546280000000,4403.700241153518618,796541.206043480313383,22978274.000000000000000,22252.000000000000000,28493704.000000000000000,20654.000000000000000,25984323,21037.000000000000000,27086707.000000000000000,19965.000000000000000,29579990.000000000000000,21006.500000000000000,31827145.000000000000000,22229.500000000000000
108,001902,11001001902,1969,1891,237,1537,2,24,0,91,68,29,10,0,179,177,1525,0,24,0,5,52,23,10,0,1625,201,1284,2,24,0,61,45,23,4,0,126,161,1275,0,24,0,3,31,18,4,0,861,807,54,219.469576069999988,0.342921220000000,3998.172027971620992,888161.868727606837638,58668759.000000000000000,46399.000000000000000,60643912.000000000000000,46000.500000000000000,59659989,47090.000000000000000,61493116.000000000000000,49240.000000000000000,67370032.000000000000000,49598.000000000000000,71508164.000000000000000,51168.000000000000000
109,002001,11001002001,2340,2244,598,1172,10,61,4,399,69,26,16,2,629,441,1138,6,58,4,10,43,20,11,1,1897,503,980,7,48,4,288,52,22,5,2,470,384,951,3,46,4,1,34,18,2,1,1026,915,111,156.381487389999990,0.244346080000000,4208.850576981577433,632853.430341176106595,74238446.000000000000000,32239.000000000000000,77796183.000000000000000,32255.000000000000000,72835604,33930.500000000000000,89402790.000000000000000,33028.000000000000000,89897212.000000000000000,31824.000000000000000,94288662.000000000000000,34251.000000000000000
110,002002,11001002002,3813,3611,778,2297,14,54,9,459,106,31,30,55,794,577,2247,9,53,2,36,75,25,29,11,2994,624,1869,12,48,9,303,69,26,14,39,541,487,1829,9,47,2,15,55,20,13,11,1436,1334,102,209.834847059999987,0.327866950000000,4418.371750955271636,849171.503492209711112,99551003.000000000000000,34078.000000000000000,111106825.000000000000000,34515.000000000000000,103023441,32810.000000000000000,116228210.000000000000000,33151.000000000000000,127883153.000000000000000,38577.000000000000000,137968594.000000000000000,39738.500000000000000
111,002101,11001002101,5309,5075,675,3301,34,99,9,957,128,47,26,6,1651,260,3203,13,95,1,6,72,36,17,4,4155,536,2685,24,77,6,658,88,33,17,6,1152,239,2619,7,74,1,2,54,25,12,4,2183,1983,200,148.526207139999997,0.232072200000000,3187.288050790644320,601064.238813090603799,94312486.760000005364418,26813.000000000000000,111940633.000000000000000,28176.500000000000000,100905873,27449.500000000000000,107570821.000000000000000,27870.500000000000000,112888946.000000000000000,29257.000000000000000,126189873.000000000000000,30443.000000000000000
112,002102,11001002102,4648,4523,398,3583,15,27,0,500,110,47,15,3,724,278,3512,12,27,0,13,76,37,8,3,3652,334,2881,7,23,0,322,73,35,12,3,476,252,2834,6,23,0,4,51,28,7,3,2173,1900,273,179.364857519999987,0.280257590000000,3547.753542621670476,725863.829931322019547,92766959.969999998807907,32803.000000000000000,113649527.000000000000000,33861.500000000000000,103545279,33094.000000000000000,107590365.000000000000000,34640.000000000000000,119845798.000000000000000,36433.500000000000000,130031411.000000000000000,38248.000000000000000
113,002201,11001002201,3442,3354,432,2331,12,55,0,524,59,22,10,3,823,227,2281,4,55,0,10,36,20,8,2,2724,354,1903,9,47,0,352,38,18,6,3,569,198,1869,4,47,0,4,29,16,4,2,1186,1110,76,102.580515879999993,0.160282060000000,2575.698246210924026,415128.621962458768394,70400837.000000000000000,30903.000000000000000,85149168.000000000000000,32313.000000000000000,75036081,31369.500000000000000,79524709.000000000000000,31352.500000000000000,91456684.980000004172325,36545.000000000000000,100975796.000000000000000,38447.000000000000000
114,002202,11001002202,3087,2946,285,2177,26,28,1,429,105,34,19,19,648,174,2130,10,28,0,4,81,22,18,19,2440,232,1761,18,28,1,308,74,28,12,18,448,160,1727,9,28,0,4,56,17,11,18,1434,1272,162,171.851175549999994,0.268517460000000,3340.613291681234841,695457.037597031565383,53733218.000000000000000,29485.500000000000000,65242968.000000000000000,29500.000000000000000,59185960,31222.000000000000000,64348461.000000000000000,30895.000000000000000,68791897.000000000000000,31094.000000000000000,76191464.000000000000000,34486.000000000000000
115,009302,11001009302,1189,1142,221,835,11,20,0,55,37,19,5,4,125,178,821,4,20,0,0,34,18,5,4,958,198,664,7,14,0,42,26,17,2,4,97,162,654,3,14,0,0,24,16,2,4,545,460,85,99.661194890000004,0.155720620000000,2780.136505049404605,403314.549015263910405,29300075.000000000000000,38413.000000000000000,32262752.000000000000000,38884.000000000000000,30980311,39454.000000000000000,31339082.000000000000000,40970.500000000000000,35745645.000000000000000,40877.000000000000000,38583475.000000000000000,40697.500000000000000
116,002301,11001002301,2974,2899,474,2137,20,37,2,229,44,15,12,18,402,371,2113,7,37,0,5,29,15,11,1,2398,416,1728,13,28,2,156,28,14,10,15,285,337,1710,6,28,0,4,18,14,9,1,1168,1069,99,101.948115849999994,0.159293930000000,2865.391244698211267,412569.389844187768176,66417176.000000000000000,37400.000000000000000,84654482.000000000000000,37194.500000000000000,74796443,36275.000000000000000,78771314.000000000000000,37362.000000000000000,98291254.000000000000000,41551.000000000000000,104003314.000000000000000,43663.000000000000000
117,002302,11001002302,2036,1983,1022,870,10,60,0,21,40,19,13,7,84,978,860,10,60,0,2,31,18,13,3,1915,1004,778,10,58,0,19,34,19,11,7,68,968,772,10,58,0,2,27,18,10,3,1573,1216,357,497.945306700000003,0.778039550000000,5876.136672546787850,2015113.174405091907829,26615661.000000000000000,30605.000000000000000,31103989.000000000000000,37487.000000000000000,29334569,33921.000000000000000,31213085.000000000000000,35344.000000000000000,28685547.000000000000000,39185.000000000000000,33413912.000000000000000,44461.000000000000000
118,002400,11001002400,3618,3524,793,2293,15,60,1,362,54,31,18,4,685,560,2240,5,60,1,8,39,26,16,3,2951,696,1864,11,54,1,247,46,30,12,4,494,517,1827,5,54,1,5,33,24,11,3,1384,1275,109,137.465967220000010,0.214790580000000,3265.934715103457165,556305.035604766453616,80149660.000000000000000,36059.000000000000000,106668159.000000000000000,38006.000000000000000,91479505,35654.000000000000000,103751959.000000000000000,37713.500000000000000,112743138.000000000000000,42453.000000000000000,129540107.000000000000000,44564.500000000000000
119,002501,11001002501,2554,2439,613,1432,11,25,4,354,50,26,19,32,589,463,1398,7,25,1,14,44,24,16,2,2092,514,1220,11,22,3,240,35,22,10,25,430,395,1191,7,22,1,8,30,20,9,2,1042,1004,38,134.279212260000008,0.209811270000000,3106.147796918163749,543408.695739986840636,63870734.000000000000000,31549.000000000000000,74481381.000000000000000,31627.500000000000000,69649528,29087.500000000000000,75809953.000000000000000,31390.000000000000000,79878737.000000000000000,34334.000000000000000,87120014.000000000000000,35144.000000000000000
120,002502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.362005439999990,0.233378140000000,3238.906670947490966,604446.594564579776488,116055853.000000000000000,26090.000000000000000,156512610.000000000000000,32326.000000000000000,135667766,28524.000000000000000,149546963.969999998807907,30983.000000000000000,153589572.000000000000000,34494.000000000000000,184029268.000000000000000,37513.000000000000000
121,002600,11001002600,2166,2074,916,1026,6,67,0,59,66,23,23,2,149,842,1017,6,67,0,12,57,16,22,2,1816,782,867,6,55,0,45,45,20,12,2,117,723,858,6,55,0,9,40,16,11,2,1001,947,54,547.648432619999994,0.855700680000000,9204.269399254329983,2216254.589922567829490,134692240.000000000000000,78044.000000000000000,120160981.000000000000000,74993.500000000000000,137593664,78133.000000000000000,150712513.000000000000000,79794.000000000000000,164390717.000000000000000,82203.000000000000000,170973446.000000000000000,81819.000000000000000
122,002701,11001002701,5233,4989,2828,1281,29,276,2,573,124,56,88,12,1269,2267,1236,16,267,2,18,86,33,73,7,4623,2548,1169,24,250,2,444,99,53,60,11,1004,2092,1128,15,243,2,17,70,30,51,7,2845,2655,190,111.263906879999993,0.173849860000000,3377.590810855906511,450269.058831022470258,137493357.000000000000000,35394.500000000000000,184313228.000000000000000,42690.000000000000000,169063427,39237.000000000000000,178818098.699999988079071,41223.500000000000000,175143270.639999985694885,43441.000000000000000,226192119.800000011920929,47231.000000000000000
123,007601,11001007601,4355,4285,140,4109,7,21,0,8,64,31,12,2,61,124,4075,6,21,0,4,59,28,11,2,3411,132,3200,7,18,0,6,42,26,8,2,48,118,3175,6,18,0,2,39,24,7,2,2196,1855,341,312.109581489999982,0.487671220000000,4733.026790838793204,1263062.671832999913022,65787519.000000000000000,28653.000000000000000,72209610.000000000000000,29757.000000000000000,67410946,28397.000000000000000,72573691.000000000000000,29717.000000000000000,76798005.000000000000000,30483.500000000000000,82541867.000000000000000,30846.000000000000000
124,007603,11001007603,4044,3961,244,3645,26,19,1,26,76,39,4,3,89,224,3613,23,19,0,1,72,38,4,2,3331,221,2990,19,15,1,20,59,27,4,3,72,205,2964,17,15,0,1,55,26,4,2,2328,2121,207,303.081921019999982,0.473565500000000,4994.723367941177457,1226529.025888776872307,95985961.000000000000000,42744.000000000000000,96251269.000000000000000,41564.000000000000000,96420454,41551.000000000000000,100710493.000000000000000,41409.000000000000000,100775617.000000000000000,41528.500000000000000,106625544.000000000000000,42402.000000000000000
125,007604,11001007604,3644,3594,148,3411,10,10,1,14,45,22,9,0,59,127,3387,9,10,1,4,43,21,8,0,2982,134,2779,9,10,1,10,36,18,7,0,45,115,2763,9,10,1,3,34,17,6,0,1931,1750,181,338.156738630000007,0.528369910000000,5427.176056877128758,1368471.777613952988759,77030053.000000000000000,35693.500000000000000,80847329.000000000000000,36500.500000000000000,77577041,34254.500000000000000,82552503.000000000000000,36143.000000000000000,87515989.000000000000000,36633.000000000000000,94079938.000000000000000,38093.500000000000000
126,007605,11001007605,3447,3380,47,3292,16,11,0,14,62,29,11,2,43,37,3278,15,11,0,5,57,29,11,2,2763,43,2635,13,10,0,12,45,26,7,2,30,37,2623,13,10,0,4,45,26,7,2,1804,1581,223,112.123698619999999,0.175193280000000,3672.999170188765220,453748.512541281408630,53319053.000000000000000,31064.000000000000000,56942326.000000000000000,29971.000000000000000,55599933,30825.500000000000000,56534733.000000000000000,30292.000000000000000,59581383.000000000000000,31643.000000000000000,61946654.000000000000000,31588.500000000000000
127,007703,11001007703,5187,5105,53,4924,10,5,1,112,72,47,7,2,186,29,4886,9,5,1,5,63,39,5,2,3665,44,3476,8,3,1,82,42,32,5,2,140,24,3446,8,3,1,4,37,24,3,2,2338,2103,235,249.880485529999987,0.390438260000000,4509.848280996378890,1011230.453691588831134,62080786.000000000000000,26835.000000000000000,66007045.000000000000000,24882.000000000000000,65408275,25046.500000000000000,65645025.000000000000000,25153.000000000000000,71794022.000000000000000,26023.500000000000000,76945859.000000000000000,26266.000000000000000
128,007707,11001007707,3867,3828,42,3740,12,1,0,33,37,19,2,1,64,42,3712,11,1,0,4,32,18,2,1,2841,38,2742,10,1,0,22,26,16,1,0,39,38,2728,9,1,0,3,22,15,1,0,1721,1555,166,208.256448960000000,0.325400700000000,4424.682144187473568,842783.952986725955270,58126835.299999997019768,31164.000000000000000,61842067.000000000000000,28427.500000000000000,57877113,29008.000000000000000,62097139.000000000000000,28629.000000000000000,64147480.000000000000000,30013.000000000000000,66746843.000000000000000,29422.500000000000000
129,007708,11001007708,2486,2438,11,2416,2,1,2,6,44,24,7,3,35,9,2395,2,1,2,1,41,23,6,2,1837,9,1782,2,1,2,4,34,18,6,3,24,9,1767,2,1,2,0,32,17,5,2,1262,1084,178,211.601070899999996,0.330626680000000,4293.393914060048701,856319.157832923228852,30562571.000000000000000,26240.000000000000000,34921404.000000000000000,25245.000000000000000,31748410,25109.500000000000000,33241592.000000000000000,24441.000000000000000,33292010.000000000000000,25265.000000000000000,34745840.000000000000000,25783.000000000000000
130,007709,11001007709,2007,1972,38,1896,8,3,0,27,32,19,6,0,47,29,1884,7,3,0,8,29,16,6,0,1599,34,1513,7,3,0,19,21,14,2,0,30,28,1505,6,3,0,7,20,12,2,0,1144,979,165,228.471425829999987,0.356986610000000,4638.997011760383430,924591.062434850260615,28571370.000000000000000,29896.000000000000000,30343665.000000000000000,30352.000000000000000,28310642,27863.500000000000000,31742090.000000000000000,28828.000000000000000,33881022.000000000000000,28981.000000000000000,34779735.000000000000000,28775.000000000000000
131,007803,11001007803,3293,3244,36,3126,15,8,0,59,40,20,10,5,103,22,3102,15,8,0,6,35,19,6,4,2543,32,2404,12,7,0,45,35,18,6,5,75,22,2387,12,7,0,6,32,17,4,4,1652,1438,214,247.758351650000009,0.387122430000000,4553.269282785067844,1002642.482522862730548,47573443.600000001490116,29997.000000000000000,52825855.000000000000000,27686.000000000000000,48905994,27744.500000000000000,49369713.000000000000000,27604.000000000000000,57963981.000000000000000,28576.000000000000000,61989776.000000000000000,29393.500000000000000
132,007804,11001007804,3446,3366,24,3289,4,4,0,45,72,44,19,5,69,18,3277,4,4,0,5,63,42,19,5,2432,19,2323,4,4,0,28,47,27,12,5,42,16,2315,4,4,0,4,42,25,12,5,1378,1212,166,209.509825320000004,0.327359100000000,4574.802909634699063,847856.187174038263038,37285095.000000000000000,27108.000000000000000,42241373.000000000000000,24947.000000000000000,36383082,24256.500000000000000,40137177.000000000000000,24418.000000000000000,43080974.000000000000000,25264.000000000000000,45942286.000000000000000,25868.000000000000000
133,007806,11001007806,2347,2319,35,2247,13,3,1,20,27,21,0,7,75,22,2208,12,3,0,0,27,20,0,7,1797,30,1723,10,3,1,12,17,14,0,1,51,22,1695,9,3,0,0,17,13,0,1,1102,964,138,170.226810910000012,0.265979390000000,4130.207134205733382,688883.467072914470918,32232385.000000000000000,29933.000000000000000,35524039.000000000000000,27394.000000000000000,32201366,28847.000000000000000,35415431.000000000000000,29425.500000000000000,37422570.000000000000000,30052.000000000000000,42317490.000000000000000,30296.500000000000000
134,002702,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.924523930000007,0.195194570000000,3697.627804769024806,505551.614962994586676,198770793.000000000000000,43840.500000000000000,223639542.000000000000000,48746.500000000000000,216772349,45791.000000000000000,238216199.000000000000000,47500.000000000000000,232110688.000000000000000,47399.000000000000000,270883128.000000000000000,50917.000000000000000
135,002801,11001002801,3773,3602,1241,1359,23,155,1,823,69,40,41,5,1382,817,1321,11,151,0,12,44,24,31,5,3145,1128,1088,16,129,1,641,53,30,38,4,1090,792,1058,6,125,0,10,32,18,28,4,1820,1646,174,42.475782440000003,0.066368410000000,1725.322841347688154,171893.394000542437425,65733402.000000000000000,23606.000000000000000,94212705.000000000000000,28873.000000000000000,83898374,26426.000000000000000,90893505.000000000000000,28629.000000000000000,80041474.000000000000000,28917.000000000000000,97260309.000000000000000,33796.000000000000000
136,009603,11001009603,3373,3305,25,3236,10,7,1,26,53,35,17,4,62,17,3220,9,7,1,3,47,32,13,2,2646,22,2545,6,5,1,17,38,24,15,4,39,17,2536,5,5,1,2,34,22,11,2,1750,1588,162,157.961847890000001,0.246815390000000,3866.067515950042889,639248.922423748648725,50548063.000000000000000,29854.000000000000000,54782066.000000000000000,29205.000000000000000,51432289,28037.500000000000000,52174930.000000000000000,28187.000000000000000,55087454.939999997615814,27981.000000000000000,58282104.000000000000000,29140.000000000000000
137,009604,11001009604,1962,1925,31,1865,4,1,0,24,27,13,5,8,55,22,1859,1,1,0,0,21,12,4,3,1592,28,1514,2,1,0,16,22,13,4,8,39,21,1509,1,1,0,0,18,12,3,3,998,927,71,135.545256469999998,0.211789460000000,3139.245873735909299,548532.194925360847265,39320298.000000000000000,34892.000000000000000,42571608.000000000000000,36056.500000000000000,37671884,33177.000000000000000,38840511.000000000000000,34782.500000000000000,41657348.000000000000000,35693.000000000000000,42752988.000000000000000,35403.000000000000000
138,009700,11001009700,3177,3141,20,3098,6,4,5,8,34,17,3,3,32,13,3086,6,3,5,0,32,16,3,3,2256,16,2196,5,4,1,5,27,15,1,2,22,13,2187,5,3,1,0,25,14,1,2,1307,1179,128,101.314912440000001,0.158304550000000,3393.279076664878630,410006.906521815515589,37230924.000000000000000,28163.500000000000000,41269716.000000000000000,27242.000000000000000,39880533,28285.000000000000000,40335605.000000000000000,26811.000000000000000,41436665.799999997019768,27024.000000000000000,42553067.000000000000000,28849.000000000000000
139,009801,11001009801,1575,1554,16,1526,3,5,0,4,21,7,1,0,26,11,1512,3,5,0,2,16,7,1,0,1100,15,1058,3,5,0,4,15,6,1,0,14,10,1053,3,5,0,2,13,6,1,0,766,677,89,110.839110469999994,0.173186110000000,3275.822030793843169,448549.968715113529470,16467492.000000000000000,24531.500000000000000,19048407.000000000000000,25883.500000000000000,19081986,27074.500000000000000,18248824.000000000000000,25989.000000000000000,17778638.570000000298023,23323.500000000000000,19288881.000000000000000,24214.000000000000000
140,009802,11001009802,1693,1678,11,1665,1,0,0,1,12,3,1,2,27,10,1643,1,0,0,1,11,3,1,2,1136,10,1111,1,0,0,1,10,3,1,2,13,9,1103,1,0,0,1,9,3,1,2,848,677,171,49.600268180000000,0.077500420000000,2124.243895864362457,200725.165016533836024,15926462.000000000000000,24440.000000000000000,18186608.000000000000000,23629.000000000000000,15540000,24559.000000000000000,16598367.000000000000000,23436.000000000000000,15661896.000000000000000,21843.500000000000000,17489336.000000000000000,21172.000000000000000
141,007807,11001007807,2139,2108,18,2053,2,5,0,30,30,9,8,0,49,9,2043,2,5,0,4,26,9,7,0,1593,13,1537,1,5,0,18,18,8,2,0,29,9,1531,1,5,0,1,16,8,2,0,906,810,96,129.422139410000000,0.202222090000000,3369.640893240183232,523752.819176796299871,26964218.000000000000000,27911.500000000000000,29022672.000000000000000,25588.000000000000000,27172275,26950.500000000000000,29864189.000000000000000,26722.000000000000000,31685807.000000000000000,25848.000000000000000,32933216.000000000000000,27008.000000000000000
142,007808,11001007808,3646,3592,34,3489,10,9,0,50,53,38,4,0,77,29,3470,8,9,0,12,40,33,3,0,2544,28,2431,9,5,0,33,37,26,2,0,51,24,2417,7,5,0,11,28,23,2,0,1598,1352,246,234.836805290000001,0.366932510000000,4159.121606678346325,950350.839345495216548,44146628.789999999105930,27911.000000000000000,47655483.000000000000000,24266.000000000000000,44039061,26488.000000000000000,45848749.000000000000000,25835.000000000000000,51644760.000000000000000,26059.500000000000000,55871889.000000000000000,27844.500000000000000
143,008701,11001008701,2407,2360,384,1888,4,38,3,43,34,15,16,0,114,356,1856,3,38,2,3,28,10,16,0,1978,357,1513,4,29,3,39,25,12,10,0,96,332,1491,3,29,2,2,19,7,10,0,972,873,99,95.004214469999994,0.148444090000000,2699.849928683441249,384468.417754861235153,48565203.000000000000000,34711.000000000000000,70853972.000000000000000,37790.000000000000000,57403391,35334.000000000000000,65364292.000000000000000,38164.000000000000000,74587120.000000000000000,41781.000000000000000,86810333.000000000000000,44960.000000000000000
144,008702,11001008702,1599,1557,221,1280,6,16,1,33,39,13,6,2,103,182,1265,6,13,1,1,27,9,6,2,1325,195,1055,6,16,1,20,30,11,5,0,72,167,1044,6,13,1,0,21,8,5,0,902,713,189,117.223816080000006,0.183162210000000,3710.812891149396364,474387.955759549862705,28412101.000000000000000,32251.000000000000000,59322798.000000000000000,41675.000000000000000,30878869,32047.000000000000000,43104817.000000000000000,38477.500000000000000,74934828.000000000000000,47601.000000000000000,159109427.000000000000000,53754.000000000000000
145,008802,11001008802,4119,4030,308,3607,29,35,4,47,68,36,15,6,172,268,3555,16,35,4,1,61,24,12,6,3301,274,2873,22,32,1,37,45,27,10,6,129,240,2840,10,32,1,1,41,18,8,6,1999,1746,253,116.569759149999996,0.182140250000000,2848.579920928853426,471741.081255413184408,62141902.810000002384186,28875.500000000000000,80440359.000000000000000,31959.500000000000000,68412661,29125.000000000000000,73584575.000000000000000,29903.000000000000000,86766327.420000001788139,35199.000000000000000,99751561.000000000000000,38882.500000000000000
146,008803,11001008803,2037,1958,694,1143,9,54,5,53,43,21,29,6,167,621,1117,8,52,5,3,33,16,27,5,1709,673,860,9,49,5,45,32,22,28,6,146,603,842,8,47,5,3,24,16,27,5,612,442,170,284.576984719999984,0.444651540000000,5287.299629218076916,1151642.205129012698308,9823344.000000000000000,16056.000000000000000,14330450.000000000000000,16546.000000000000000,11668374,16917.000000000000000,12715225.000000000000000,16095.000000000000000,18786961.000000000000000,21519.000000000000000,22956326.000000000000000,24186.000000000000000
147,009803,11001009803,2758,2719,23,2684,5,3,0,4,35,16,10,4,30,20,2667,5,3,0,0,29,14,10,4,2000,22,1943,5,2,0,4,22,11,5,2,21,19,1931,5,2,0,0,20,10,5,2,1416,1201,215,131.213249910000002,0.205020700000000,3195.473389160180886,531001.186270024161786,30971202.000000000000000,26640.000000000000000,33847590.000000000000000,23984.000000000000000,33180603,25128.500000000000000,33226454.000000000000000,25227.000000000000000,35039724.000000000000000,25379.000000000000000,37398304.000000000000000,26262.500000000000000
